year,visits,type_en,type_ge,Tourist,source
1995,85000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
1996,117000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
1997,313000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
1998,317000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
1999,384000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2000,387000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2001,302000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2002,298000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2003,313000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2004,368000,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2005,559753,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2006,763231,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2007,1051749,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2008,1290108,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2009,1500049,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2010,2031717,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2011,2822363,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2012,4428221,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2013,5392303,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2014,5515570,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2015,5901473,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2016,6360509,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2017,7556337,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2018,8326252,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2019,9024537,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2011,3115527,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2012,4741346,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2013,5734898,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2014,5888709,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2015,6305635,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2016,6719975,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2017,7902509,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2018,8679544,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2019,9357964,International Traveller Trips_1,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები_1,Non-Tourist,
2011,2711697,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2012,4105874,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2013,4954448,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2014,5004331,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2015,5255999,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2016,5392816,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2017,6482830,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2018,7203350,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2019,7725774,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2011,1832788,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2012,2459794,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2013,2884295,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2014,2938892,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2015,3011663,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2016,3297275,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2017,4069354,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2018,4756820,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2019,5080478,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Tourist,
2011,878909,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2012,1646080,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2013,2070153,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2014,2065439,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2015,2244336,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2016,2095541,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2017,2413476,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2018,2446530,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2019,2645296,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
2020,1747110,International Traveller Trips,საერთაშორისო არარეზიდენტი მოგზაურების ვიზიტები,Non-Tourist,
2020,1513421,International Visitor Trips,საერთაშორისო ვიზიტორების ვიზიტები,Non-Tourist,
2020,1087093,Tourist (Overnight) Trips,ტურისტული ვიზიტი,Non-Tourist,
2020,426328,Same Day Trips,ერთდღიანი ვიზიტი,Non-Tourist,
